bucket	count
british_literature	219
american_literature	142
latin_american_literature	117
western_literature	96
francophone_literature	93
italian_literature	77
japanese_literature	73
west_african_literature	72
arabic_literature	69
native_american_literature	66
classical_chinese_literature	65
science_fiction_literature	65
german_literature	62
caribbean_literature	55
russian_literature	52
spanish_literature	51
persian_literature	42
south_asian_literature	40
brazilian_literature	38
greek_literature	38
korean_literature	38
south_african_literature	38
childrens_literature	36
african_american_literature	31
bengali_literature	30
global_contemporary_literature	29
tamil_literature	29
pacific_islander_literature	28
sanskrit_literature	28
aboriginal_australian_literature	27
roman_literature	26
east_african_literature	25
hebrew_literature	25
indigenous_literatures	23
queer_literature	23
scandinavian_literature	23
central_european_literature	22
diaspora_literature	21
hindi_literature	21
maori_literature	19
feminist_literature	18
medieval_european_literature	18
urdu_literature	18
central_african_literature	17
horror_literature	17
balkan_literature	16
fantasy_literature	15
portuguese_literature	15
vietnamese_literature	15
diasporic_literature	14
graphic_narrative	14
swahili_literature	14
lusophone_african_literature	13
turkic_literature	13
north_african_literature	12
african_literature	11
crime_literature	11
hebrew_bible_and_tanakh	11
horn_of_africa_literature	11
malay_indonesian_literature	11
migration_refugee_literature	11
ancient-greek	10
filipino_literature	10
norwegian_literature	10
telugu_literature	10
armenian_literature	9
central_asian_literature	9
danish_literature	9
french_literature	9
kannada_literature	9
malayalam_literature	9
marathi_literature	9
modern_global_drama	9
polish_literature	9
sumerian_literature	9
turkish_literature	9
dutch_literature	8
maya_literature	8
modern_greek_literature	8
pali_prakrit_literature	8
romanian_literature	8
swedish_literature	8
thai_literature	8
ancient_egyptian_literature	7
arctic_indigenous_literatures	7
czech_literature	7
hungarian_literature	7
japanese_drama	7
southern_african_literature	7
turkish_ottoman_literature	7
chinese_drama	6
georgian_literature	6
icelandic_literature	6
modern_drama	6
punjabi_literature	6
sanskrit	6
tibetan_literature	6
yoruba_literature	6
akkadian_literature	5
burmese_literature	5
finnish_literature	5
nepali_literature	5
odia_literature	5
sanskrit_drama	5
syriac_literature	5
testimonio	5
ukrainian_literature	5
yiddish_literature	5
baltic_literature	4
bulgarian_literature	4
early_novel_traditions	4
english-literature	4
khmer_literature	4
kurdish_literature	4
lyric_poetry	4
mahayana_texts	4
mesopotamian_mythology	4
mongolian_literature	4
quechua_literature	4
scottish_literature	4
sinhala_literature	4
weird_literature	4
ancient_egyptian_religion	3
assamese_literature	3
autobiography_and_memoir	3
catalan_literature	3
chinese_literature	3
classical-chinese	3
contemporary_world_literature	3
french-literature	3
irish_literature	3
jain_texts	3
lithuanian_literature	3
mapuche_literature	3
nahuatl_literature	3
norse_mythology	3
prison_writing	3
russian	3
ugaritic_literature	3
young_adult_literature	3
zapotec_literature	3
adventure_literature	2
african-american	2
albanian_literature	2
amazigh_literature	2
american_drama	2
amharic_literature	2
ancient_greek_literature	2
austrian_literature	2
avant_garde_theater	2
azerbaijani_literature	2
basque_literature	2
bhakti_traditions	2
black_atlantic_literature	2
celtic_mythology	2
chinese_mythology	2
chinese_vernacular_fiction	2
classical_drama	2
colonial_american_literature	2
early_modern_european_drama	2
estonian_literature	2
galician_literature	2
ghanaian_literature	2
hadith_collections	2
indian_literature	2
latin-american	2
medieval_latin_literature	2
mexican_literature	2
modern_european_theater	2
old_english_literature	2
oral_epic_traditions	2
renaissance_literature	2
romantic_literature	2
russian-literature	2
sikh_texts	2
slovenian_literature	2
somali_literature	2
southeast_asian_literature	2
spanish-literature	2
taiwanese_literature	2
zoroastrian_texts	2
american	1
american-theater	1
ancient-greek-literature	1
ancient-near-east	1
ancient_greek_drama	1
ancient_near_eastern_literature	1
andean_indigenous_colonial_literature	1
andean_mythology	1
anglo_irish_literature	1
arabic	1
arabic_american_literature	1
belarusian_literature	1
british	1
bunraku	1
byzantine_greek_literature	1
canadian_literature	1
chinese	1
cuban_american_literature	1
devotional_poetry	1
dine_oral_traditions	1
dominican_american_literature	1
early-christian	1
east_slavic_literature	1
english	1
english_literature	1
fairy_tale_traditions	1
filipino_american_literature	1
finnish_and_baltic_mythology	1
geez_literature	1
gothic_literature	1
greek_theater	1
haudenosaunee_oral_traditions	1
hindu_epic_and_purana	1
hittite_and_anatolian_mythology	1
indo_persian_literature	1
inuit_and_arctic_mythology	1
irish	1
italian	1
japanese	1
japanese-literature	1
japanese_mythology	1
kenyan_literature	1
kiche-maya	1
kichwa_literature	1
kyrgyz_literature	1
lao_literature	1
late_antique_greek_literature	1
late_antique_latin_literature	1
latin-literature	1
malay_literature	1
medieval_french_literature	1
medieval_german_literature	1
medieval_travel_literature	1
mephaa_literature	1
middle-english	1
middle-english-literature	1
middle-high-german-literature	1
middle_english_drama	1
modernist-literature	1
modernist_literature	1
modernist_novel	1
new_testament_and_early_christianity	1
oceanian_literature	1
old-english	1
old_french_literature	1
pali_buddhist_literature	1
pali_canon	1
patristic_theology	1
polynesian_mythology	1
postcolonial_literature	1
postcolonial_novel	1
praise_poetry_traditions	1
realist_novel	1
reformation_theology	1
renaissance_latin_literature	1
roman-literature	1
sanskrit_buddhist_literature	1
sanskrit_theater	1
scots_literature	1
scottish-enlightenment	1
short_story	1
slave_narratives	1
slovak_literature	1
spanish	1
spanish_colonial_literature	1
sri_lankan_literature	1
sufism	1
surrealist_literature	1
swiss_literature	1
tibetan_mythology	1
trickster_traditions	1
victorian_literature	1
welsh_literature	1
west-african	1
yoruba_ifa_corpus	1
zulu_literature	1
