bucket	count
novel	1354
play	201
poetry_selection	138
poetry_collection	132
literary_work	100
novella	73
short_story_collection	70
book	33
epic_poem	31
novel_sequence	30
literary_memoir	20
memoir	20
poem	20
story_collection	20
tragedy	19
comedy	18
oral_epic	18
short_story	17
story_cycle	17
poetry_anthology	16
long_poem	15
romance_poem	10
devotional_poetry_collection	9
lyric_poetry_collection	9
graphic_narrative	8
narrative_poem	8
poetry_sequence	8
court_epic	7
didactic_poem	7
historical_novel	7
prose_romance	7
theater_work	7
wisdom_text	7
autobiography	6
corpus	6
epistolary_novel	6
lyric_poetry_anthology	6
poem_sequence	6
saga	6
scripture	6
short_story_selection	6
travel_narrative	6
detective_novel	5
fable_collection	5
lyric_poetry_selection	5
prophetic_book	5
prose_poetry_collection	5
prose_tale	5
short_story_cycle	5
sonnet_sequence	5
verse_novel	5
court_poem	4
devotional_poem	4
devotional_poetry_selection	4
diary_literature	4
essay_collection	4
fantasy_novel	4
gothic_novel	4
literary_chronicle	4
mythic_poem	4
philosophical_tale	4
poetry_and_prose_sequence	4
tale	4
chronicle	3
court_tale	3
dialogue	3
dream_vision_poem	3
epic_adaptation	3
fairy_tale_collection	3
funerary_text_corpus	3
graphic_memoir	3
history_play	3
mythological_novel	3
prose_fiction	3
prose_poem	3
romance_epic	3
satirical_poetry_collection	3
satirical_prose	3
scripture_collection	3
sutra	3
testimonio	3
war_tale	3
adventure_novel	2
allegorical_poem	2
allegorical_prose	2
as_told_to_life_narrative	2
autobiographical_narrative	2
autobiographical_novel	2
autobiographical_prose	2
biblical_narrative	2
childrens_novel	2
drama	2
dramatic_poem	2
epic_fragment	2
essay	2
essay_book	2
essay_selection	2
experimental_novel	2
experimental_prose	2
fantasy_series	2
graphic_narrative_series	2
hadith_collection	2
hymn_collection	2
literary_anthology	2
literary_autobiography	2
literary_nonfiction	2
literary_testimony	2
lyric_sequence	2
mystical_poem	2
mystical_prose	2
mythic_chronicle	2
novel_cycle	2
novella_sequence	2
oral_epic_selection	2
oral_epic_tradition	2
oral_history_literature	2
oral_poetry_selection	2
pastoral_poetry_collection	2
philosophical_poem	2
poetry_cycle	2
prose_and_poetry_collection	2
prose_cycle	2
prose_poem_collection	2
public_oral_tradition_selection	2
religious_poem	2
romance	2
romance_play	2
sacred_narrative	2
satire	2
satirical_novel	2
story_selection	2
sufi_poetry_selection	2
utopian_novel	2
vernacular_novel	2
adab_anthology	1
adab_prose	1
adab_prose_collection	1
allegorical_romance_poem	1
ancient_novel	1
anecdote_collection	1
aphoristic_poetry	1
apocalyptic_narrative	1
apocalyptic_text	1
as_told_to_literary_testimony	1
autofiction_sequence	1
avant_garde_play	1
ballad	1
beast_epic_cycle	1
biblical_poetry	1
biography	1
biomythography	1
captivity_narrative	1
chanson_de_geste	1
childrens_fantasy	1
chivalric_novel	1
choreopoem	1
city_lament	1
classic	1
closet_drama	1
compiled_oral_epic	1
cosmological_text	1
creation_chant	1
crime_novel	1
debate_poem	1
devotional_commentary_poem	1
devotional_epic	1
devotional_hymn_collection	1
devotional_story_corpus	1
dialogue_novel	1
dialogue_poem	1
dialogue_text	1
didactic_poetry_collection	1
divination_verse_corpus	1
documentary_literary_selection	1
documentary_literary_testimony	1
dramatic_monologue_poem	1
dramaturgical_text	1
dystopian_novel	1
epic_retelling	1
epic_romance_poem	1
epic_tale	1
epigram_collection	1
epistolary_prose	1
epistolary_satire	1
fantasy_romance	1
folktale_collection	1
fragmentary_poetry	1
fragmentary_prose	1
frame_story_collection	1
future_history	1
gaucho_epic	1
ghazal_collection	1
goddess_scripture	1
graphic_journalism	1
graphic_novel	1
graphic_story_cycle	1
hagiographic_narrative_collection	1
hagiographic_poem	1
hagiographic_prose	1
haibun_travel_diary	1
heroic_epic	1
heroic_romance	1
heroic_tale_cycle	1
historical_novel_sequence	1
historical_prose	1
historiographic_corpus	1
hybrid_memoir_essay	1
hybrid_prose_poetry	1
hybrid_text	1
hymn_sequence	1
hymnic_poem	1
jain_epic_poem	1
jain_epic_retelling	1
jain_philosophical_sutra	1
jain_story_collection	1
jataka_story	1
learned_prose	1
legendary_saga	1
letter_collection	1
literary_dialogues	1
literary_documentary_prose	1
literary_essay	1
literary_essay_narrative	1
literary_history	1
literary_letter	1
literary_manifesto	1
literary_reportage	1
liturgical_book	1
liturgical_hymn_cycle	1
liturgical_poem	1
long_poem_anthology	1
love_elegy_collection	1
lyric_epic_poem	1
lyric_essay	1
