work_id	creator_id	creator_role	attribution_status	notes
work_candidate_pyramid_texts	creator_00001	author_or_tradition	incumbent_label	""
work_candidate_instructions_of_ptahhotep	creator_00002	author_or_tradition	incumbent_label	""
work_candidate_scale4_lit_enheduanna_hymns	creator_00003	author_or_tradition	incumbent_label	""
work_candidate_me_lit_exaltation_inanna	creator_00003	author_or_tradition	incumbent_label	""
work_canon_epic_of_gilgamesh	creator_00004	author_or_tradition	incumbent_label	""
work_candidate_me_lit_lament_ur	creator_00005	author_or_tradition	incumbent_label	""
work_candidate_coffin_texts	creator_00006	author_or_tradition	incumbent_label	""
work_candidate_scale4_lit_shipwrecked_sailor	creator_00007	author_or_tradition	incumbent_label	""
work_candidate_mandatory_eloquent_peasant	creator_00008	author_or_tradition	incumbent_label	""
work_candidate_tale_of_sinuhe	creator_00008	author_or_tradition	incumbent_label	""
work_candidate_atrahasis	creator_00009	author_or_tradition	incumbent_label	""
work_candidate_debate_between_man_and_soul	creator_00008	author_or_tradition	incumbent_label	""
work_canon_rig_veda	creator_00010	author_or_tradition	incumbent_label	""
work_candidate_enuma_elish	creator_00011	author_or_tradition	incumbent_label	""
work_candidate_me_lit_adapa	creator_00012	author_or_tradition	incumbent_label	""
work_candidate_anzu_myth	creator_00009	author_or_tradition	incumbent_label	""
work_candidate_me_lit_enmerkar_aratta	creator_00013	author_or_tradition	incumbent_label	""
work_candidate_me_lit_etana	creator_00014	author_or_tradition	incumbent_label	""
work_candidate_me_lit_inanna_enki	creator_00015	author_or_tradition	incumbent_label	""
work_candidate_me_lit_instructions_shuruppak	creator_00016	author_or_tradition	incumbent_label	""
work_candidate_kumarbi_cycle	creator_00017	author_or_tradition	incumbent_label	""
work_candidate_lugalbanda_mountain_cave	creator_00018	author_or_tradition	incumbent_label	""
work_candidate_me_lit_curse_agade	creator_00018	author_or_tradition	incumbent_label	""
work_candidate_descent_of_inanna	creator_00019	author_or_tradition	incumbent_label	""
work_candidate_me_lit_sheep_grain	creator_00020	author_or_tradition	incumbent_label	""
work_candidate_egyptian_book_of_the_dead	creator_00006	author_or_tradition	incumbent_label	""
work_candidate_scale4_lit_baal_cycle	creator_00021	author_or_tradition	incumbent_label	""
work_candidate_me_lit_kirta	creator_00021	author_or_tradition	incumbent_label	""
work_candidate_aqhat_epic	creator_00021	author_or_tradition	incumbent_label	""
work_candidate_scale4_lit_amenemope	creator_00002	author_or_tradition	incumbent_label	""
