rank	title	total_question_count	tier	boundary_domain	boundary_reason	dominant_quizbowl_track	quizbowl_track_profile	literature_track_count	non_literature_track_count	work_form	reading_unit	region_or_tradition	suggested_action
1021	Beauty and the Beast	172	qb_core	mythology	myth_or_oral_tradition_signal	other_academic	cross_category_literary	4	152	short_fiction	eighteenth_century_prose_and_drama	french	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1145	The Gospel According to Jesus Christ	114	qb_major	religion	scripture_or_religious_text_signal	other_academic	cross_category_literary	42	102	long_fiction	postwar_literature	biblical_religious	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1594	Call to Arms	113	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	99	collection_or_cycle	modernism	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1778	End of the Game	87	qb_major	music_performance	music_or_performance_signal	pop_culture	cross_category_literary	13	65	drama	postwar_global_literature	latin_american	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1837	The Order of Insects	85	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	63	short_fiction	postwar_literature	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1802	Book of Lamentations	82	qb_major	religion	scripture_or_religious_text_signal	religion	non_literature_context	0	74	unknown_form	unclassified_unit	biblical_religious	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1863	The Knight of the Cart	78	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	64	short_fiction	medieval_romance_saga	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1814	Birds of America	77	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	67	collection_or_cycle	postwar_literature	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1607	Paul Clifford	74	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	82	unknown_form	nineteenth_century_poetry_and_drama	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
1404	White Buildings	73	qb_major	adjacent_non_literature	non_literature_context_dominates	other_academic	non_literature_context	0	82	unknown_form	modernism	unknown_region	Set explicit boundary disposition: keep as literature, cross-list, route to sibling list, or reject.
