rank	title	total_question_count	tier	creator_source	creator_confidence	creators	risk_level	risk_reasons	suggested_action
26	Les Miserables	655	qb_core	quizbowl_author_answerline	medium	Victor Hugo	high	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
39	The Tin Drum	514	qb_core	quizbowl_author_answerline	medium	Gunter Grass	high	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
67	The Red Badge of Courage	440	qb_core	quizbowl_author_answerline	medium	Stephen Crane	high	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
60	Miss Julie	420	qb_core	quizbowl_author_answerline	medium	August Strindberg	high	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
164	The Legend of Sleepy Hollow	356	qb_core	quizbowl_author_answerline	medium	Washington Irving	high	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
155	Rip Van Winkle	336	qb_core	quizbowl_author_answerline	medium	Washington Irving	high	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
142	The Hunchback of Notre Dame	327	qb_core	quizbowl_author_answerline	medium	Victor Hugo	high	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
161	The Rape of the Lock	323	qb_core	quizbowl_author_answerline	medium	Alexander Pope	high	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
492	Cat and Mouse	323	qb_core	quizbowl_author_answerline	medium	Gunter Grass	high	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
277	Civil Disobedience	284	qb_core	quizbowl_author_answerline	medium	Henry David Thoreau	high	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
197	The God of Small Things	239	qb_core	quizbowl_author_answerline	medium	Arundhati Roy	high	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
470	The Red Room	236	qb_core	quizbowl_author_answerline	medium	August Strindberg	high	quizbowl_author_answerline_creator	Replace with reviewed/manual/Wikidata creator or suppress from default path.
