title	rank	total_question_count	wikidata_id	wikidata_label	wikidata_description	creators	sort_year	date_label	confidence	decision
Heart of Darkness	5	732	Q129778	Heart of Darkness	1899 novella by Joseph Conrad	Joseph Conrad	1899	1899	high	accepted_overlay
Moby Dick	6	911	Q174596	Moby-Dick	novel by Herman Melville	Herman Melville	1851	1851	high	accepted_overlay
The Great Gatsby	7	711	Q214371	The Great Gatsby	1925 novel by F. Scott Fitzgerald	F. Scott Fitzgerald	1925	1925	high	accepted_overlay
Cry, the Beloved Country	10	538	Q2916551	Cry, the Beloved Country	1948 novel by Alan Paton	Alan Paton	1948	1948	high	accepted_overlay
The Scarlet Letter	11	665	Q907568	The Scarlet Letter	novel by Nathaniel Hawthorne	Nathaniel Hawthorne	1850	1850	high	accepted_overlay
Jane Eyre	12	589	Q182961	Jane Eyre	1847 novel by Charlotte Brontë	Charlotte Brontë	1847	1847	high	accepted_overlay
A Raisin in the Sun	14	550	Q300532	A Raisin in the Sun	1959 play by Lorraine Hansberry	Lorraine Hansberry	1959	1959	high	accepted_overlay
Madame Bovary	15	552	Q193417	Madame Bovary	novel by Gustave Flaubert (1857)	Gustave Flaubert	1857	1857	high	accepted_overlay
Crime and Punishment	16	629	Q165318	Crime and Punishment	1866 Russian-language novel by Dostoyevsky	Fyodor Dostoyevsky	1866	1866	high	accepted_overlay
A Doll’s House	17	624	Q669694	A Doll's House	1879 play by Henrik Ibsen	Henrik Ibsen	1879	1879	high	accepted_overlay
The Second Coming	18	840	""	""	""	""	""	""	""	no_high_confidence_match
Catch-22	20	526	Q278208	Catch-22	novel by the American author Joseph Heller (1961)	Joseph Heller	1961	1961	high	accepted_overlay
Les Miserables	22	655	Q180736	Les Misérables	1862 novel by Victor Hugo	""	1862	1862	medium	accepted_overlay
Midnight’s Children	23	567	Q625764	Midnight's Children	1981 novel by Salman Rushdie	Salman Rushdie	1981	1981	high	accepted_overlay
Native Son	25	631	Q165599	Native Son	1940 novel by Richard Wright	Richard Wright	1940	1940	high	accepted_overlay
The Waste Land	27	639	Q581458	The Waste Land	poem by T.S. Eliot	T. S. Eliot	1922	1922	high	accepted_overlay
Brave New World	28	651	Q191949	Brave New World	1932 novel by Aldous Huxley	Aldous Huxley	1932	1932	high	accepted_overlay
A Streetcar Named Desire	29	572	Q842106	A Streetcar Named Desire	1947 US play by Tennessee Williams	Tennessee Williams	1947	1947	high	accepted_overlay
Pride and Prejudice	30	546	Q170583	Pride and Prejudice	1813 novel by Jane Austen	Jane Austen	1813	1813	high	accepted_overlay
Our Town	31	466	Q1755219	Our Town	play written by Thornton Wilder	Thornton Wilder	1938	1938	high	accepted_overlay
The Sound and the Fury	32	589	Q135515	The Sound and the Fury	1929 novel by William Faulkner	William Faulkner	1929	1929	high	accepted_overlay
The Catcher in the Rye	33	573	Q183883	The Catcher in the Rye	1951 novel by J. D. Salinger	J. D. Salinger	1951	1951	high	accepted_overlay
Who’s Afraid of Virginia Woolf	34	484	Q856274	Who's Afraid of Virginia Woolf?	1962 play by Edward Albee	Edward Albee	1962	1962	high	accepted_overlay
